Pre,runoff,
192.5242343,174.21875,
192.2836371,160.5,
167.5929444,161.96875,
195.9394839,165.15625,
191.451756,162.42188,
182.9927406,155.54688,
189.2879735,147.09375,
171.4552863,143.9375,
172.5461841,154.39062,
166.7968974,167,
181.2172748,179.6875,
195.7728533,201.625,
202.543604,256.1875,
219.9954151,321.8125,
275.645874,324.34375,
280.956717,283.0625,
256.6142735,242.1875,
235.7617197,215.125,
203.979822,198.46875,
206.0063723,185.09375,
178.5764777,172.5,
168.4013922,160.96875,
136.1708682,150.90625,
141.7973708,142.4375,
157.1362534,135.5,
112.6029467,129.78125,
119.6245468,124.875,
135.8904386,120.59375,
142.9955679,116.8125,
130.209212,113.4375,
140.3965487,110.40625,
144.9724615,107.71875,
149.2392197,105.5625,
154.9668905,103.84375,
131.3593559,102,
137.8500085,100.40625,
171.4776933,99.0625,
143.8528172,98,
141.3587346,96.90625,
127.930599,95.625,
126.0881314,94.125,
131.4942843,92.65625,
126.0674883,91.21875,
125.4807104,89.84375,
132.6226145,88.65625,
71.59639,95.65625,
216.4797616,162.09375,
246.1634408,320.28125,
288.8954645,471.5,
385.8970625,542.34375,
425.3673288,525.125,
401.3809384,472.5625,
373.4705228,423.4375,
336.4620115,378.09375,
282.3463784,339.8125,
284.4888122,304.90625,
238.8201678,273.25,
196.238782,247.46875,
189.920939,221.5,
194.1123195,196.28125,
178.8477243,175.375,
159.841214,160,
142.2783836,148.3125,
77.71839621,139.15625,
114.6036798,150.25,
288.3985765,230.8125,
329.8692659,361.28125,
402.1138268,467.15625,
422.2923534,511.875,
405.3981409,498.65625,
329.3144576,463.625,
391.7011801,432.90625,
345.5043677,400.09375,
309.5146691,362.96875,
265.0567294,323.5625,
216.3899519,284.6875,
183.4163248,248.8125,
236.7717877,221.9375,
155.8218628,232,
274.0083673,365.28125,
406.7227835,605.34375,
587.2162283,761.09375,
618.5031943,772.875,
700.6040114,717.90625,
707.1575447,671.1875,
535.7595017,625.03125,
511.7989393,564.96875,
469.9258647,502.78125,
383.2807891,443.53125,
306.0146236,389.78125,
322.1128959,347.71875,
256.3865902,314.5,
226.3954562,283.5,
216.9200014,256.8125,
198.0685762,234.5625,
217.6732442,214.4375,
180.9301852,197.75,
182.7859035,183.78125,
192.0591288,174.3125,
163.1981156,170.09375,
209.5490082,171.90625,
230.9723739,183.46875,
242.2070665,192.46875,
299.3729589,195.5,
239.3223368,207.21875,
284.4355528,240,
281.3301313,277.90625,
252.8264007,283.9375,
258.1250994,269.125,
264.4528523,244.21875,
233.3162996,218.5625,
198.6697487,197.28125,
201.3409384,181.75,
197.6371774,171.875,
173.2787732,166.5625,
165.3348088,163.9375,
157.8988824,162.1875,
161.3829565,160.71875,
150.4390523,159.28125,
148.4124165,157.78125,
156.1784612,155.96875,
144.4850238,154.34375,
205.0250399,154.28125,
212.2632588,169.84375,
196.8276177,209.375,
205.3290631,244.53125,
206.1975801,257,
202.0508319,243.625,
193.0439997,220.375,
163.2067321,198.71875,
157.4030421,182.28125,
155.5343135,171.375,
230.2500262,183.25,
285.2959772,226.04688,
239.999507,257.82812,
216.0860784,266.25,
224.126844,252,
249.4033899,234.0625,
338.7217613,227.78125,
235.5036757,231.34375,
214.115909,231.0625,
230.2299069,224.01562,
208.0330188,210.0625,
213.6053053,194.15625,
214.2297079,181.1875,
178.1189517,172.5625,
207.2692888,168.29688,
236.0435817,174.46875,
192.9438631,189.76562,
184.8301678,194.60938,
212.4111279,190.1875,
175.6977239,181.15625,
164.880554,172.4375,
170.8206851,166.42188,
123.4076196,163,
165.6804068,166.625,
175.1673537,175.89062,
196.5009524,180.95312,
169.5070642,180.15625,
145.9486838,177.0625,
163.2168879,175.45312,
185.4664367,179.375,
232.1296909,212.25,
254.2135819,262.92188,
366.8662531,306.8125,
438.605673,331.96875,
350.3465667,347.03125,
314.1904833,344.09375,
283.8242566,325.28125,
282.1375956,307.65625,
254.8889134,330.35938,
286.6923522,367.04688,
326.7199284,376.375,
335.2788451,358.45312,
255.1993615,325.42188,
226.721587,292.20312,
300.4553366,267.8125,
246.5774571,260.79688,
251.8849647,262.46875,
234.5878753,251.34375,
200.9622003,235.07812,
175.3988962,218.21875,
184.9619693,203.17188,
207.970972,190.76562,
173.4844985,181.40625,
181.0715438,174.625,
170.4751084,169.85938,
164.4428264,166.375,
164.5853503,163.875,
215.3863408,163.76562,
203.9558007,163.48438,
206.7743571,177.76562,
248.0371618,239.17188,
304.5536361,302.57812,
263.338147,316.26562,
284.7119842,297.23438,
292.048843,268.65625,
