AT,Tmax,Tmin,DPT,GF,SLP,SP,Evap,K,CUPE,runoff
28.07,33.95,25.95,25.12,27.95,1006.04,1003.85,-3.5819,38.05,1692.85,401.53125
27.61,29.94,25.77,24.97,27.25,1008.28,1006.09,-1.8656,39.12,1679.8,419.79688
27.98,32.83,25.82,24.89,28.56,1009.52,1007.33,-3.1301,35.11,2373.22,481.45312
28.67,32.84,26.08,24.88,27.37,1008.91,1006.72,-3.0422,32.07,2417.29,504.6875
28.68,33.09,25.92,25.04,27.88,1008.97,1006.78,-4.9661,31.89,1961.73,487.15625
28.77,31.96,26.05,24.02,27.71,1009.45,1007.26,-4.8905,33.63,979.96,460.75
28.52,31.94,26.16,23.95,27.25,1007.24,1005.05,-4.8953,34.85,811,449.39062
27.48,30.79,24.88,23.92,26.56,1004.13,1001.95,-4.0763,32.19,462.46,438.73438
29.33,32.81,26.46,24.56,28.25,1001.23,999.06,-4.2927,25.64,597.16,426.78125
30.55,34.94,27.24,25.95,29.78,1000.29,998.12,-5.181,29.62,2257.3,415.40625
29.74,34.18,26.77,25.07,29.31,1001.97,999.8,-5.2404,33.72,1756.24,404.4375
31.28,34.39,28.7,25.59,29.56,1003.2,1001.03,-5.8053,32.33,1201.14,395.26562
31.4,35.33,28.74,25.75,30.38,1006.63,1004.46,-5.7371,36.72,2105.49,389.8125
32.05,35.78,28.96,26.24,31.28,1005.57,1003.4,-5.383,34.66,3057.84,386.78125
32.95,36.81,29.44,26.11,31.46,1002.99,1000.84,-6.0622,34.24,1641.8,379.79688
32.69,36.97,28.87,26.24,31.78,1003.27,1001.1,-6.0821,32.29,3065,355.04688
31.65,36.74,27.51,25.74,31.12,1006.66,1004.48,-5.7136,33.44,3180.84,320.79688
29.48,33.94,27.32,24.81,29.59,1009.66,1007.47,-5.3078,35.95,1374.19,292.57812
29.69,33.82,25.78,23.93,28.63,1007.23,1005.04,-5.1758,18.18,357.45,269.92188
29.52,33.48,25.99,23.42,28.53,1004.01,1001.83,-5.6518,9.14,50.57,248.65625
30.27,33.82,26.89,24.74,29.31,1003.13,1000.96,-4.7818,15.6,247.48,228.125
30.46,34.42,26.98,25.32,29.87,1003.82,1001.65,-4.2764,16.02,524.12,208.29688
32.57,36.16,30.04,26.29,31.35,1004.1,1001.94,-4.9617,36.47,1596.09,189
33.5,37.67,30.28,26.21,32.1,1002.56,1000.41,-5.3427,35.31,1682.42,170.73438
33.46,37.36,30.14,25.34,32.25,1002.22,1000.06,-5.7905,34.68,597.14,153.71875
31.53,37.36,27.68,25.45,31.21,1004.14,1001.97,-5.3007,39.39,1088.62,138.71875
28.25,33.26,25.4,25.35,29.63,1006.56,1004.37,-4.2181,40.35,1577.07,127.203125
26.24,28.11,25.28,24.27,26.29,1008.03,1005.83,-2.5473,38.53,601.93,121.90625
28.76,32.51,26.35,25.32,29,1008.81,1006.62,-3.8453,31.06,1539.28,122.84375
29.73,34.11,26.44,25.84,30.04,1010.56,1008.37,-4.9349,33.21,2792.46,125.390625
29.78,34.18,26.13,24.96,29.8,1012.52,1010.33,-5.1074,33.48,1906.22,124.03125
30.47,33.99,26.79,23.96,29.63,1012.54,1010.35,-5.5598,27.49,499.26,117.6875
30.73,34.5,27.45,24.99,29.98,1010.39,1008.21,-5.1542,26.12,953.92,108.640625
30.78,35.26,26.74,25.44,30.73,1009.39,1007.21,-4.7241,34.39,2340.23,99.140625
28.62,32.65,26.35,25.15,29.18,1010.24,1008.04,-4.4891,35.52,2245.25,90.390625
26.9,31.4,24.19,24.06,27.72,1009.87,1007.68,-3.0617,37.3,1890.15,83.515625
25.35,27.35,23.91,23.46,25.84,1009.47,1007.27,-2.2322,38.41,793.06,80.625
23.11,24.62,21.89,21.96,23.5,1009.52,1007.31,-1.616,37.2,89.49,82.375
22.9,24.4,22.19,21.8,23.1,1009.14,1006.93,-1.9131,34.44,33.5,93.078125
23.98,26.83,21.17,21.3,23.3,1009.62,1007.41,-3.0965,23.03,8.52,135.15625
26.04,30.13,22.73,21.74,25.32,1009.4,1007.2,-4.0359,17.68,23.16,189.98438
26.93,30.39,23.91,22.79,26.36,1007.78,1005.59,-4.1133,25.98,136.71,209.89062
26.64,30.27,25.09,24.25,26.29,1007.2,1005,-3.0468,36.36,597.14,206.04688
26.92,29.69,25.17,24.56,26.08,1008.1,1005.9,-2.9942,36.86,512.93,196.875
26.42,29.48,25.22,24.6,26.18,1009.2,1007,-2.4138,38.42,1202.2,197.17188
25.32,28.11,23.85,23.84,25.21,1009.12,1006.92,-1.9381,38.69,518.3,248.76562
25.82,29.18,23.98,23.5,25.44,1010.29,1008.09,-2.3525,29.99,525.51,360.78125
27.32,31.07,25.1,24.1,27.01,1008.36,1006.17,-3.9143,30.13,496.18,436.28125
28.03,31.53,25.25,24.04,27.61,1006.7,1004.52,-4.0364,30.05,149.27,426.625
27.79,31.28,25.64,24.7,27.78,1006.67,1004.49,-3.9059,38.86,991.79,390.71875
27.06,29.92,24.97,25.05,27.44,1009.16,1006.97,-2.603,38.47,1158.52,412.25
26.45,29.21,24.46,24.66,26.79,1008.61,1006.41,-2.6586,34.16,962.46,446.0625
26.04,29.09,24.44,23.83,26.3,1006.57,1004.37,-3.3157,35.05,396.91,430.67188
24.31,25.85,23.19,22.19,23.89,1010.27,1008.06,-2.2648,29.75,12.77,388.95312
24.82,28.54,22.19,20.44,23.94,1011.8,1009.6,-4.5162,7.58,0.93,348.8125
24.85,26.62,22.53,20.69,24.87,1011.74,1009.53,-2.777,37.26,398.45,324.03125
23.34,25.13,22.08,21.78,23.13,1012.45,1010.23,-0.9143,33.25,151.3,351.98438
25.17,28.08,23.02,21.92,24.78,1011.75,1009.54,-2.7373,25.57,9.71,409.76562
25.76,29.77,22.51,21.4,25.15,1010.65,1008.44,-3.8739,20.12,1.52,412.60938
25.79,30.27,22.07,21.02,24.94,1009.58,1007.38,-4.3833,3.25,0,366.9375
26.25,30.81,22.83,21.34,24.75,1008.97,1006.77,-4.3628,-3.81,0,314.53125
28.14,32.17,25.01,24.02,27.3,1008.47,1006.28,-3.6607,18.85,226.47,275.79688
29.11,32.65,25.88,24.58,27.82,1007.86,1005.68,-3.6031,27.01,269.98,249.35938
27.23,34.41,18.01,21.43,26.93,1011.73,1009.53,-5.3601,33.15,391.44,228.25
16.37,17.77,14.66,14.67,16.36,1020.23,1017.97,-2.6352,17.46,29.18,215.21875
17.94,21.75,14.89,12.13,17.73,1018.4,1016.15,-4.2873,-26.32,0.01,218.35938
21,23.81,18.33,14.01,20.44,1016.5,1014.26,-3.6899,-5.72,4.06,234.75
19.44,21.23,17.43,16.18,18.96,1016.24,1014,-1.148,24.22,15.26,240.48438
18.46,20.47,16.71,16.79,17.69,1017.36,1015.11,-1.0201,23.75,0.17,232.45312
19.67,22.06,17.84,17.16,18.61,1017.17,1014.93,-1.2394,17.61,2.64,223.9375
19.42,23.24,15.83,14.33,19.2,1020.94,1018.7,-2.888,3.4,3.22,213.40625
17.06,20.31,13.78,14.38,16.27,1021.03,1018.78,-1.3316,8.53,6.24,199.19531
18.59,23.56,14.94,13.8,17.72,1020.28,1018.04,-3.4746,1.61,0.01,183.82031
20.42,23.88,17.51,16.09,20.1,1017.4,1015.16,-3.3187,17.01,5.39,170.14844
17.93,20.28,15.53,16.48,17.51,1016.13,1013.89,-0.9783,6.91,5.16,163.00781
17.85,24.01,12.49,10.88,16.34,1018.16,1015.91,-3.9445,-9.44,0,166.71875
17.74,24.12,13.12,9.83,15.57,1018.68,1016.44,-3.7991,-5.45,0,172.92188
17.81,24.97,11.97,10.78,16.68,1017.96,1015.72,-3.3719,-6.81,0,170.84375
19.46,24.51,15.97,12.44,18.19,1017.09,1014.85,-3.211,-9.09,0,160.99219
