SLP,SP,AT,Tmax,Tmin,GF,DPT,Evap,K,CUPE,runoff
1008.08,935.7,24.36,28.75,21.59,23.82,21.31,-3.3193,31.62,23.14,1009.8906
1007.12,934.89,25.23,28.97,22.28,25,22.42,-3.5153,33.85,377.9,949.0156
1004.86,932.78,25.45,29.75,22.81,25.15,22.54,-3.0553,35.49,1049.11,926.03125
1003.67,931.84,26.44,30.77,23.34,25.66,22.66,-3.4063,34.74,865.18,941.65625
1005.15,933.26,26.18,31.55,23.45,25.53,22.4,-3.7982,35.34,1360.24,961.0156
1003.28,931.71,27.83,32.19,24.2,27,23.67,-4.1672,33.74,2406.62,973.375
1002.96,931.26,27.64,32.2,22.99,26.61,23.9,-3.9652,34.09,2926.48,939.0781
1013.84,940.92,23.03,25.51,19.74,22.05,19.99,-2.0438,28.23,549.56,905.75
1017.99,944.56,20.95,23.79,18.55,21.05,16.33,-2.0975,24.49,3.52,933.7031
1012.8,939.52,20.32,23.01,18.63,20.91,17.19,-2.3481,23.93,20.83,1015.3906
1011.28,937.93,18.33,19.95,17.5,18.29,17.14,-1.2301,24.46,36.15,988.65625
1016.49,942.92,18.81,20.31,17.19,17.78,15.54,-0.911,20.69,32.38,967.46875
1015.77,942.4,20.53,24.18,18.2,20.22,15.74,-2.802,19.75,5.79,953.59375
1016.05,942.39,18.92,20.5,17.26,19.2,16.66,-1.3377,23.46,51.62,897.9219
1018.35,944.5,18.66,20.89,17.41,18.64,16.58,-1.0537,24.66,57.09,837.8203
1017.71,944.04,19.86,22.18,17.41,19.98,16.42,-2.2289,25.25,3.84,794.10156
1016.06,942.36,18.62,20.69,17.1,18.87,16.77,-1.3426,26.82,12.41,755.21094
1019.33,945.3,17.53,18.54,16.78,16.64,16.14,-0.7433,26.44,21.18,728.4375
1021.43,947.69,19.92,24.29,16.9,19.26,14.11,-2.7614,21.42,7.26,737.6797
1021.41,947.6,19.87,22.79,17.73,18.63,15.1,-1.6936,16.59,17.47,769.7656
1019.61,945.9,19.85,22.97,17.68,18.73,15.34,-1.8938,17.29,37.14,746.03906
1017.89,944.07,18.22,20.41,16.06,17.6,15.18,-0.8808,21.86,26.36,699.66406
1017.52,943.64,17.62,20.27,15.56,17.44,14.73,-2.1493,22.68,1.67,651.60156
1015.62,942.11,19.42,23.64,16.74,19.35,16.15,-2.5744,22.3,0.27,606.97656
1011.25,938.01,19.16,21.13,17.27,19.37,16.77,-1.7623,26.71,1.54,562.09375
1005.37,932.4,17.58,18.22,17.13,17.6,16.9,-0.6227,28.14,14.3,523.125
1010.92,937.68,17.64,20.72,15.87,17.45,15.4,-1.2419,22.75,11.54,514.14844
1015.04,941.46,18.53,21.58,16.36,17.5,13.82,-1.587,16.67,0.26,554.40625
1016.46,942.72,18.57,21.53,16.87,18.21,14.76,-1.7187,20.14,4.66,607.7969
1016.53,942.73,17.48,19.45,16.14,17.46,14.94,-1.3573,21.34,4.29,603.0078
1020.44,946.37,17.36,20.25,15.03,15.7,14.36,-1.4557,21.34,0.47,588.0469
